Sr no,College Name,College location,College Location Type (city/ village/ town/ mega city...etc),Type of college (SF/Govt/ GIA),Department (IT/CE/EC/CH/MH/..........),Males-PHD,Males- mtech/ME,Males-Btech,Women-PHD,Women- mtech/ME,Women-Btech,Total Male,Total Female
1,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,7,4,0,0,10,0,11,10
2,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,AUTOMOBILE ENGINEERING,7,0,0,0,0,0,7,0
3,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,CIVIL ENGINEERING,3,1,0,1,1,0,4,2
4,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,COMPUTER ENGINEERING,1,6,0,4,1,0,7,5
5,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,COMPUTER SCIENCE & DESIGN,1,6,0,4,1,0,7,5
6,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,DAIRY TECHNOLOGY,2,0,0,1,0,0,2,1
7,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,ELECTRICAL ENGINEERING,7,0,0,0,0,0,7,0
8,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,ELECTRONICS & COMMUNICATION ENGINEERING,2,2,0,2,0,0,4,2
9,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,FOOD PROCESSING TECHNOLOGY,7,0,0,2,1,0,7,3
10,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,INFORMATION TECHNOLOGY,1,6,0,4,1,0,7,5
11,"A.D.Patel Institute Of Tech.,Karamsad (Constituent Institute of The Charutar Vidya Mandal University) New Vallabh Vidhyanagar, Post Box:-52 Vitthal Udyognagar 
 Contact No.: 02692233680 
 Email: principal@adit.ac.in 
 Website: https://www.adit.ac.in",Anand,City,SF,MECHANICAL ENGINEERING,13,2,0,1,0,0,15,1
